"R0000100","R1205500","R1217500","R1302500","S0921200","S1225300","S1240000","T2783000","T3144600","T3155500"
1,1,1,8,2,0,2,3,2,1
2,2,1,15,4,0,1,4,1,1
3,1,1,12,3,0,1,-5,-5,-5
4,1,1,12,4,0,1,4,3,1
5,2,1,12,2,3,2,4,2,2
6,3,1,12,4,3,2,4,2,3
7,3,1,12,2,0,1,-5,-5,-5
8,3,1,12,4,0,5,-5,-5,-5
9,3,1,12,3,3,1,4,2,1
10,3,1,12,4,0,1,4,4,5
11,2,1,14,3,7,5,3,2,1
12,2,1,12,4,7,2,4,2,1
13,3,1,6,4,2,1,3,1,1
14,1,1,12,-5,-5,-5,-5,-5,-5
15,2,1,12,3,1,2,-5,-5,-5
16,1,1,11,4,3,1,4,3,1
17,4,1,14,-5,-5,-5,-5,-5,-5
18,5,1,15,3,3,1,4,1,1
19,5,1,15,1,1,1,-5,-5,-5
20,2,1,11,2,4,1,-5,-5,-5
21,2,1,13,4,2,1,3,3,2
22,1,1,11,4,0,1,-5,-5,-5
23,2,1,10,3,0,5,2,3,1
24,4,1,7,4,0,3,3,1,1
25,3,1,12,3,0,1,4,3,1
26,2,1,12,2,1,2,-1,-2,-2
27,4,1,10,3,3,3,4,1,2
28,2,1,12,4,0,1,4,2,1
29,2,1,-3,-5,-5,-5,-5,-5,-5
30,1,1,-3,-5,-5,-5,-5,-5,-5
31,1,1,12,3,6,1,4,2,1
32,1,1,16,4,3,2,4,2,1
33,1,1,14,4,7,1,4,2,3
34,1,1,16,3,7,2,4,2,1
35,2,1,-3,4,1,1,3,1,1
36,2,1,15,1,0,1,4,3,5
37,2,1,-3,4,0,2,3,2,2
38,2,1,-3,4,4,3,4,1,2
39,2,1,-3,4,3,1,3,2,1
40,1,1,12,4,0,1,-5,-5,-5
41,3,1,12,4,0,4,4,2,1
42,2,1,-3,4,2,1,4,3,1
43,1,1,-3,4,0,1,4,2,1
44,2,1,-3,2,3,2,4,1,1
45,6,1,8,3,0,2,4,2,1
46,6,1,8,4,2,1,-2,1,1
47,2,1,11,4,0,1,2,3,1
48,2,1,11,4,0,3,4,2,2
49,1,1,12,4,3,1,4,3,3
50,2,1,12,4,0,2,4,2,1
51,4,1,12,4,2,1,4,3,1
52,4,1,12,4,1,1,2,3,3
53,2,1,12,4,1,1,4,4,1
54,3,1,14,4,2,2,4,3,1
55,3,1,10,3,3,3,4,3,1
56,2,1,18,4,1,3,4,2,1
57,3,1,12,3,0,2,4,3,1
58,2,1,12,4,5,1,4,1,2
59,1,1,16,4,3,1,4,5,5
60,3,1,14,4,3,1,4,4,1
61,2,1,12,4,2,1,4,3,3
62,2,1,14,4,0,1,4,3,1
63,2,1,14,4,3,1,3,3,1
64,1,1,15,4,2,1,4,1,1
65,3,1,95,4,3,2,3,2,1
66,3,1,-3,4,4,1,4,2,1
67,3,1,18,4,5,2,4,2,1
68,3,1,-4,1,0,2,4,2,3
69,2,1,16,3,3,1,4,1,2
70,2,1,16,4,1,1,4,1,1
71,1,1,14,4,0,2,4,3,1
72,2,1,11,2,3,1,-5,-5,-5
73,2,1,11,4,1,1,-5,-5,-5
74,2,1,-3,4,2,2,4,3,3
75,2,1,-3,3,0,1,2,2,2
76,2,1,-3,4,6,1,4,2,1
77,2,1,12,3,0,1,4,1,1
78,1,1,-3,4,0,2,4,3,1
79,1,1,11,2,3,1,4,2,1
80,3,1,12,1,0,2,4,4,1
81,1,1,12,4,0,3,3,2,3
82,4,1,-3,3,3,1,3,1,1
83,3,1,6,3,7,1,4,2,1
84,3,1,6,3,0,1,4,3,3
85,3,1,12,2,5,1,4,2,1
86,1,1,12,4,0,1,4,3,1
87,2,1,12,3,2,3,3,1,2
88,3,1,12,4,5,1,-5,-5,-5
89,6,1,6,3,1,1,4,2,3
90,2,1,16,4,0,1,4,4,1
91,2,1,16,3,3,5,4,3,3
92,2,1,10,1,3,1,4,3,1
93,2,1,8,3,3,2,4,3,1
94,1,1,10,3,1,5,4,2,1
95,1,1,8,-5,-5,-5,-5,-5,-5
96,2,1,12,-5,-5,-5,4,3,1
97,1,1,12,2,5,1,4,1,1
98,2,1,-3,4,5,1,-5,-5,-5
99,4,1,8,4,4,1,-5,-5,-5
100,1,1,10,4,0,1,4,3,5
101,5,1,6,3,0,1,4,3,1
102,3,1,12,4,4,1,-5,-5,-5
103,3,1,12,4,1,1,-5,-5,-5
104,4,1,13,3,3,2,4,4,1
105,4,1,13,4,3,1,4,2,1
106,2,1,16,-5,-5,-5,-2,2,5
107,4,1,16,4,3,1,4,1,2
108,4,1,16,4,4,1,-2,1,1
109,4,1,12,3,0,2,4,2,1
110,4,1,12,4,0,1,4,2,1
111,1,1,-4,4,3,2,3,3,2
112,2,1,12,4,2,2,-5,-5,-5
113,4,1,15,4,0,2,4,2,1
114,1,1,12,4,0,4,3,2,2
115,1,1,12,4,2,2,-1,2,1
116,3,2,12,4,2,3,4,2,1
117,3,2,12,4,4,1,4,3,1
118,1,1,12,3,2,4,4,2,3
119,2,1,15,-5,-5,-5,-5,-5,-5
120,1,1,16,-5,-5,-5,-5,-5,-5
121,2,1,14,4,1,1,4,4,1
122,2,1,14,4,1,3,4,4,1
123,2,1,15,-5,-5,-5,-5,-5,-5
124,2,1,15,-5,-5,-5,-5,-5,-5
125,3,1,16,-5,-5,-5,-5,-5,-5
126,2,1,12,1,0,2,3,4,1
127,2,1,16,3,0,4,4,2,3
128,2,1,16,4,0,2,4,2,2
129,2,1,-4,4,3,1,-5,-5,-5
130,2,1,-4,4,-2,1,3,3,1
131,1,1,16,-5,-5,-5,-5,-5,-5
132,2,1,16,4,6,2,4,1,1
133,2,1,16,-5,-5,-5,4,1,1
